username,content,like_count,retweet_count,location,year,tweets,location_cleaned,tokens,tokens_cleaned,polarity_score
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sASuv",3,1,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",9,4,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",5,3,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
ResoGlob,"[TOMORROW!] Join our #FreeWebinar: Resonance, @mPharmaHealth, and @Rockson2 on Nov. 12 at 12pm ET for a discussion on how an innovative social enterprise is fixing Africa’s broken drug #supplychain and rising to the challenge of #COVID19. 

REGISTER NOW: https://t.co/vorRA7Zoe2 https://t.co/0IGP3tuxQD",0,0,"Burlington, Vermont",2020,"TOMORROW Join our  Resonance  and  on Nov 12 at 12pm ET for a discussion on how an innovative social enterprise is fixing Africas broken drug  and rising to the challenge of  

REGISTER NOW  ","Burlington, Vermont","['TOMORROW', 'Join', 'our', 'Resonance', 'and', 'on', 'Nov', '12', 'at', '12pm', 'ET', 'for', 'a', 'discussion', 'on', 'how', 'an', 'innovative', 'social', 'enterprise', 'is', 'fixing', 'Africas', 'broken', 'drug', 'and', 'rising', 'to', 'the', 'challenge', 'of', 'REGISTER', 'NOW']",TOMORROW Join Resonance Nov 12 12pm ET discussion innovative social enterprise fixing Africas broken drug rising challenge REGISTER,0.04444444444444443
MicdeeDesigns,"How it started vs. How it ended.

Working with @mPharmaHealth and helping her push towards the goal of an Africa in good health ties into our goal of designing the Future of Work in Africa; a cause that we are wholly committed to.

See the full space here: https://t.co/kagSXYaejb https://t.co/YMn6a7aU66",29,15,Nigeria,2020,"How it started vs How it ended

Working with  and helping her push towards the goal of an Africa in good health ties into our goal of designing the Future of Work in Africa a cause that we are wholly committed to

See the full space here  ",Nigeria,"['How', 'it', 'started', 'vs', 'How', 'it', 'ended', 'Working', 'with', 'and', 'helping', 'her', 'push', 'towards', 'the', 'goal', 'of', 'an', 'Africa', 'in', 'good', 'health', 'ties', 'into', 'our', 'goal', 'of', 'designing', 'the', 'Future', 'of', 'Work', 'in', 'Africa', 'a', 'cause', 'that', 'we', 'are', 'wholly', 'committed', 'to', 'See', 'the', 'full', 'space', 'here']",started vs ended Working helping push towards goal Africa good health ties goal designing Future Work Africa cause wholly committed See full space,0.3499999999999999
mitlegatum,"Join @ResoGlob, @mPharmaHealth, and @Rockson2 on Nov 12 at12pm ET. Learn how an #innovative social enterprise is fixing Africa’s broken drug supply chain, lowering the price of vital medicines, and rising to the challenge of COVID-19. 
&gt; Register now: https://t.co/OkpZ833Yjg",2,1,"Cambridge, Massachusetts",2020,"Join   and  on Nov 12 at12pm ET Learn how an  social enterprise is fixing Africas broken drug supply chain lowering the price of vital medicines and rising to the challenge of COVID19 
gt Register now ","Cambridge, Massachusetts","['Join', 'and', 'on', 'Nov', '12', 'at12pm', 'ET', 'Learn', 'how', 'an', 'social', 'enterprise', 'is', 'fixing', 'Africas', 'broken', 'drug', 'supply', 'chain', 'lowering', 'the', 'price', 'of', 'vital', 'medicines', 'and', 'rising', 'to', 'the', 'challenge', 'of', 'COVID19', 'gt', 'Register', 'now']",Join Nov 12 at12pm ET Learn social enterprise fixing Africas broken drug supply chain lowering price vital medicines rising challenge COVID19 gt Register,-0.0888888888888889
MicdeeDesigns,"In line with our goal to design the Future Of Work for Africa, one of the things we set out to do was to ensure that the @mPharmaHealth office would be a thrilling and enjoyable space.

Not to brag but we nailed it. 😏

Watch the full video on YouTube https://t.co/kagSXYaejb https://t.co/jrPF8KR3O6",14,7,Nigeria,2020,"In line with our goal to design the Future Of Work for Africa one of the things we set out to do was to ensure that the  office would be a thrilling and enjoyable space

Not to brag but we nailed it 

Watch the full video on YouTube  ",Nigeria,"['In', 'line', 'with', 'our', 'goal', 'to', 'design', 'the', 'Future', 'Of', 'Work', 'for', 'Africa', 'one', 'of', 'the', 'things', 'we', 'set', 'out', 'to', 'do', 'was', 'to', 'ensure', 'that', 'the', 'office', 'would', 'be', 'a', 'thrilling', 'and', 'enjoyable', 'space', 'Not', 'to', 'brag', 'but', 'we', 'nailed', 'it', 'Watch', 'the', 'full', 'video', 'on', 'YouTube']",line goal design Future Work Africa one things set ensure office would thrilling enjoyable space brag nailed Watch full video YouTube,0.275
MAwonowo,"Latest completed project by @MicdeeDesigns 

Super proud of the team that delivered the project in the middle of a pandemic @Tola_Dee @mayowasemire @affido @kolstoppa @larry_toris 

And of course, major appreciation to @mPharmaHealth for their confidence in our ability to deliver",26,11,Remote,2020,"Latest completed project by  

Super proud of the team that delivered the project in the middle of a pandemic      

And of course major appreciation to  for their confidence in our ability to deliver",Remote,"['Latest', 'completed', 'project', 'by', 'Super', 'proud', 'of', 'the', 'team', 'that', 'delivered', 'the', 'project', 'in', 'the', 'middle', 'of', 'a', 'pandemic', 'And', 'of', 'course', 'major', 'appreciation', 'to', 'for', 'their', 'confidence', 'in', 'our', 'ability', 'to', 'deliver']",Latest completed project Super proud team delivered project middle pandemic course major appreciation confidence ability deliver,0.33916666666666667
MicdeeDesigns,"Unveiling our latest project.

We partnered with @mPharmaHealth to create an office that will inspire her people and enable them work more efficiently. 

Read more here: https://t.co/2K4RKjSeGA

#TheFutureOfWork #MicdeeDesigns https://t.co/GhTDIRhgES",39,20,Nigeria,2020,"Unveiling our latest project

We partnered with  to create an office that will inspire her people and enable them work more efficiently 

Read more here 

  ",Nigeria,"['Unveiling', 'our', 'latest', 'project', 'We', 'partnered', 'with', 'to', 'create', 'an', 'office', 'that', 'will', 'inspire', 'her', 'people', 'and', 'enable', 'them', 'work', 'more', 'efficiently', 'Read', 'more', 'here']",Unveiling latest project partnered create office inspire people enable work efficiently Read,0.5
SkollFoundation,Congratulations to @mPharmaHealth co-founder and CEO Gregory Rockson (@Rockson2) for being named to Business Ghana's 2020 100 Most Influential Young Africans list. Rockson's social entrepreneurship has helped contain the spread of COVID-19 in Africa. https://t.co/PmLpUn2wmX,8,2,Palo Alto,2020,Congratulations to  cofounder and CEO Gregory Rockson  for being named to Business Ghanas 2020 100 Most Influential Young Africans list Rocksons social entrepreneurship has helped contain the spread of COVID19 in Africa ,Palo Alto,"['Congratulations', 'to', 'cofounder', 'and', 'CEO', 'Gregory', 'Rockson', 'for', 'being', 'named', 'to', 'Business', 'Ghanas', '2020', '100', 'Most', 'Influential', 'Young', 'Africans', 'list', 'Rocksons', 'social', 'entrepreneurship', 'has', 'helped', 'contain', 'the', 'spread', 'of', 'COVID19', 'in', 'Africa']",Congratulations cofounder CEO Gregory Rockson named Business Ghanas 2020 100 Influential Young Africans list Rocksons social entrepreneurship helped contain spread COVID19 Africa,0.06666666666666667
